Date,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Temperature (°C),Wind Speed (m/s),Pressure (Pa)
2023/1/2 8:00 PM,25 °F,25 °F,100 %,SSE,2 mph,0 mph,29.44 in,0.0 in,Light Snow,-3.888888888888889,0.89408,99695.3216
2023/1/2 9:00 PM,27 °F,25 °F,93 %,E,3 mph,0 mph,29.43 in,0.0 in,Light Snow,-2.7777777777777777,1.34112,99661.4577
2023/1/2 10:00 PM,27 °F,25 °F,93 %,E,2 mph,0 mph,29.44 in,0.0 in,Cloudy,-2.7777777777777777,0.89408,99695.3216
2023/1/2 11:00 PM,27 °F,25 °F,93 %,ESE,3 mph,0 mph,29.43 in,0.0 in,Light Snow,-2.7777777777777777,1.34112,99661.4577
2023/1/2 12:00 AM,27 °F,27 °F,100 %,ESE,2 mph,0 mph,29.43 in,0.0 in,Light Snow,-2.7777777777777777,0.89408,99661.4577
2023/1/3 1:00 AM,27 °F,27 °F,100 %,ESE,2 mph,0 mph,29.43 in,0.0 in,Light Snow,-2.7777777777777777,0.89408,99661.4577
2023/1/3 2:00 AM,27 °F,27 °F,100 %,CALM,0 mph,0 mph,29.42 in,0.0 in,Light Snow,-2.7777777777777777,0.0,99627.5938
2023/1/3 3:00 AM,27 °F,27 °F,100 %,CALM,0 mph,0 mph,29.43 in,0.0 in,Light Snow,-2.7777777777777777,0.0,99661.4577
2023/1/3 4:00 AM,27 °F,27 °F,100 %,CALM,0 mph,0 mph,29.42 in,0.0 in,Cloudy,-2.7777777777777777,0.0,99627.5938
2023/1/3 5:00 AM,27 °F,27 °F,100 %,CALM,0 mph,0 mph,29.43 in,0.0 in,Cloudy,-2.7777777777777777,0.0,99661.4577
2023/1/3 6:00 AM,28 °F,28 °F,100 %,WSW,3 mph,0 mph,29.44 in,0.0 in,Cloudy,-2.2222222222222223,1.34112,99695.3216
2023/1/3 7:00 AM,27 °F,25 °F,93 %,E,5 mph,0 mph,29.42 in,0.0 in,Cloudy,-2.7777777777777777,2.2352,99627.5938
2023/1/3 8:00 AM,27 °F,27 °F,100 %,CALM,0 mph,0 mph,29.43 in,0.0 in,Cloudy,-2.7777777777777777,0.0,99661.4577
2023/1/3 9:00 AM,25 °F,25 °F,100 %,SE,2 mph,0 mph,29.42 in,0.0 in,Cloudy,-3.888888888888889,0.89408,99627.5938
2023/1/3 10:00 AM,27 °F,27 °F,100 %,SSW,2 mph,0 mph,29.42 in,0.0 in,Mostly Cloudy,-2.7777777777777777,0.89408,99627.5938
2023/1/3 11:00 AM,28 °F,27 °F,93 %,CALM,0 mph,0 mph,29.40 in,0.0 in,Mostly Cloudy,-2.2222222222222223,0.0,99559.866
2023/1/3 12:00 PM,32 °F,30 °F,93 %,E,5 mph,0 mph,29.37 in,0.0 in,Mostly Cloudy,0.0,2.2352,99458.2743
2023/1/3 1:00 PM,30 °F,30 °F,100 %,E,5 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy,-1.1111111111111112,2.2352,99390.5465
2023/1/3 1:22 PM,32 °F,30 °F,93 %,CALM,0 mph,0 mph,29.33 in,0.0 in,Mostly Cloudy,0.0,0.0,99322.81869999999
2023/1/3 2:00 PM,37 °F,30 °F,75 %,W,8 mph,0 mph,29.33 in,0.0 in,Mostly Cloudy,2.7777777777777777,3.57632,99322.81869999999
2023/1/3 3:00 PM,36 °F,28 °F,75 %,W,6 mph,0 mph,29.31 in,0.0 in,Cloudy,2.2222222222222223,2.68224,99255.0909
2023/1/3 4:00 PM,34 °F,30 °F,87 %,WNW,5 mph,0 mph,29.31 in,0.0 in,Showers in the Vicinity,1.1111111111111112,2.2352,99255.0909
2023/1/3 4:10 PM,34 °F,30 °F,87 %,WNW,3 mph,0 mph,29.31 in,0.0 in,Cloudy,1.1111111111111112,1.34112,99255.0909
2023/1/3 4:42 PM,36 °F,30 °F,81 %,WSW,3 mph,0 mph,29.30 in,0.0 in,Cloudy,2.2222222222222223,1.34112,99221.227
2023/1/3 5:00 PM,34 °F,30 °F,87 %,W,5 mph,0 mph,29.31 in,0.0 in,Cloudy,1.1111111111111112,2.2352,99255.0909
2023/1/3 5:20 PM,34 °F,30 °F,87 %,W,5 mph,0 mph,29.31 in,0.0 in,Cloudy,1.1111111111111112,2.2352,99255.0909
2023/1/3 5:40 PM,34 °F,30 °F,87 %,WSW,6 mph,0 mph,29.30 in,0.0 in,Cloudy,1.1111111111111112,2.68224,99221.227
2023/1/3 6:00 PM,36 °F,30 °F,81 %,WSW,7 mph,0 mph,29.30 in,0.0 in,Cloudy,2.2222222222222223,3.12928,99221.227
2023/1/3 7:00 PM,36 °F,30 °F,81 %,SW,7 mph,0 mph,29.28 in,0.0 in,Cloudy,2.2222222222222223,3.12928,99153.4992
2023/1/3 8:00 PM,36 °F,28 °F,75 %,WSW,7 mph,0 mph,29.28 in,0.0 in,Cloudy,2.2222222222222223,3.12928,99153.4992
2023/1/3 9:00 PM,34 °F,28 °F,81 %,SW,8 mph,0 mph,29.26 in,0.0 in,Cloudy,1.1111111111111112,3.57632,99085.7714
